Census 2021 Super Data Zone Code,Census 2021 Super Data Zone Label,Economic Activity - 9 Categories Code,Economic Activity - 9 Categories Label,Count
N21000246,Lisnasharragh_L,-8,No code required,378
N21000247,Lisnasharragh_N,1,Economically active: Employee (including full-time students),1141
N21000247,Lisnasharragh_N,2,Economically active: Self-employed (including full-time students),157
N21000247,Lisnasharragh_N,3,Economically active: Unemployed (including full-time students),53
N21000247,Lisnasharragh_N,4,Economically inactive: Retired,530
N21000247,Lisnasharragh_N,5,Economically inactive: Student,100
N21000247,Lisnasharragh_N,6,Economically inactive: Looking after home or family,94
N21000247,Lisnasharragh_N,7,Economically inactive: Long-term sick or disabled,121
N21000247,Lisnasharragh_N,8,Economically inactive: Other,54
N21000247,Lisnasharragh_N,-8,No code required,548
N21000248,Lisnasharragh_P,1,Economically active: Employee (including full-time students),1151
N21000248,Lisnasharragh_P,2,Economically active: Self-employed (including full-time students),177
N21000248,Lisnasharragh_P,3,Economically active: Unemployed (including full-time students),34
N21000248,Lisnasharragh_P,4,Economically inactive: Retired,472
N21000248,Lisnasharragh_P,5,Economically inactive: Student,89
N21000248,Lisnasharragh_P,6,Economically inactive: Looking after home or family,50
N21000248,Lisnasharragh_P,7,Economically inactive: Long-term sick or disabled,53
N21000248,Lisnasharragh_P,8,Economically inactive: Other,34
N21000248,Lisnasharragh_P,-8,No code required,581
N21000249,Lisnasharragh_Q,1,Economically active: Employee (including full-time students),868
N21000249,Lisnasharragh_Q,2,Economically active: Self-employed (including full-time students),134
N21000249,Lisnasharragh_Q,3,Economically active: Unemployed (including full-time students),38
N21000249,Lisnasharragh_Q,4,Economically inactive: Retired,252
N21000249,Lisnasharragh_Q,5,Economically inactive: Student,83
N21000249,Lisnasharragh_Q,6,Economically inactive: Looking after home or family,36
N21000249,Lisnasharragh_Q,7,Economically inactive: Long-term sick or disabled,48
N21000249,Lisnasharragh_Q,8,Economically inactive: Other,36
N21000249,Lisnasharragh_Q,-8,No code required,325
N21000250,Lisnasharragh_R,1,Economically active: Employee (including full-time students),1101
N21000250,Lisnasharragh_R,2,Economically active: Self-employed (including full-time students),126
N21000250,Lisnasharragh_R,3,Economically active: Unemployed (including full-time students),46
N21000250,Lisnasharragh_R,4,Economically inactive: Retired,571
N21000250,Lisnasharragh_R,5,Economically inactive: Student,88
N21000250,Lisnasharragh_R,6,Economically inactive: Looking after home or family,37
N21000250,Lisnasharragh_R,7,Economically inactive: Long-term sick or disabled,36
N21000250,Lisnasharragh_R,8,Economically inactive: Other,30
N21000250,Lisnasharragh_R,-8,No code required,437
N21000251,Botanic_A,1,Economically active: Employee (including full-time students),1097
N21000251,Botanic_A,2,Economically active: Self-employed (including full-time students),77
N21000251,Botanic_A,3,Economically active: Unemployed (including full-time students),177
N21000251,Botanic_A,4,Economically inactive: Retired,119
N21000251,Botanic_A,5,Economically inactive: Student,1296
N21000251,Botanic_A,6,Economically inactive: Looking after home or family,102
N21000251,Botanic_A,7,Economically inactive: Long-term sick or disabled,155
N21000251,Botanic_A,8,Economically inactive: Other,58
N21000251,Botanic_A,-8,No code required,293
N21000252,Botanic_B,1,Economically active: Employee (including full-time students),491
N21000252,Botanic_B,2,Economically active: Self-employed (including full-time students),56
N21000252,Botanic_B,3,Economically active: Unemployed (including full-time students),55
N21000252,Botanic_B,4,Economically inactive: Retired,223
N21000252,Botanic_B,5,Economically inactive: Student,64
N21000252,Botanic_B,6,Economically inactive: Looking after home or family,111
N21000252,Botanic_B,7,Economically inactive: Long-term sick or disabled,239
N21000252,Botanic_B,8,Economically inactive: Other,82
N21000252,Botanic_B,-8,No code required,306
N21000253,Botanic_C,1,Economically active: Employee (including full-time students),744
N21000253,Botanic_C,2,Economically active: Self-employed (including full-time students),67
N21000253,Botanic_C,3,Economically active: Unemployed (including full-time students),113
N21000253,Botanic_C,4,Economically inactive: Retired,141
N21000253,Botanic_C,5,Economically inactive: Student,736
N21000253,Botanic_C,6,Economically inactive: Looking after home or family,71
N21000253,Botanic_C,7,Economically inactive: Long-term sick or disabled,161
N21000253,Botanic_C,8,Economically inactive: Other,74
N21000253,Botanic_C,-8,No code required,206
N21000254,Botanic_D,1,Economically active: Employee (including full-time students),547
N21000254,Botanic_D,2,Economically active: Self-employed (including full-time students),62
N21000254,Botanic_D,3,Economically active: Unemployed (including full-time students),54
N21000254,Botanic_D,4,Economically inactive: Retired,143
N21000254,Botanic_D,5,Economically inactive: Student,111
N21000254,Botanic_D,6,Economically inactive: Looking after home or family,142
N21000254,Botanic_D,7,Economically inactive: Long-term sick or disabled,225
N21000254,Botanic_D,8,Economically inactive: Other,86
N21000254,Botanic_D,-8,No code required,445
N21000255,Botanic_E,1,Economically active: Employee (including full-time students),771
N21000255,Botanic_E,2,Economically active: Self-employed (including full-time students),72
N21000255,Botanic_E,3,Economically active: Unemployed (including full-time students),79
N21000255,Botanic_E,4,Economically inactive: Retired,134
N21000255,Botanic_E,5,Economically inactive: Student,106
N21000255,Botanic_E,6,Economically inactive: Looking after home or family,94
N21000255,Botanic_E,7,Economically inactive: Long-term sick or disabled,145
N21000255,Botanic_E,8,Economically inactive: Other,68
N21000255,Botanic_E,-8,No code required,338
N21000256,Botanic_F,1,Economically active: Employee (including full-time students),660
N21000256,Botanic_F,2,Economically active: Self-employed (including full-time students),57
N21000256,Botanic_F,3,Economically active: Unemployed (including full-time students),96
N21000256,Botanic_F,4,Economically inactive: Retired,205
N21000256,Botanic_F,5,Economically inactive: Student,129
N21000256,Botanic_F,6,Economically inactive: Looking after home or family,105
N21000256,Botanic_F,7,Economically inactive: Long-term sick or disabled,223
N21000256,Botanic_F,8,Economically inactive: Other,81
N21000256,Botanic_F,-8,No code required,305
N21000257,Botanic_G,1,Economically active: Employee (including full-time students),593
N21000257,Botanic_G,2,Economically active: Self-employed (including full-time students),53
N21000257,Botanic_G,3,Economically active: Unemployed (including full-time students),62
N21000257,Botanic_G,4,Economically inactive: Retired,147
N21000257,Botanic_G,5,Economically inactive: Student,56
N21000257,Botanic_G,6,Economically inactive: Looking after home or family,91
N21000257,Botanic_G,7,Economically inactive: Long-term sick or disabled,148
N21000257,Botanic_G,8,Economically inactive: Other,59
N21000257,Botanic_G,-8,No code required,312
N21000258,Botanic_H,1,Economically active: Employee (including full-time students),1277
N21000258,Botanic_H,2,Economically active: Self-employed (including full-time students),90
N21000258,Botanic_H,3,Economically active: Unemployed (including full-time students),210
N21000258,Botanic_H,4,Economically inactive: Retired,65
N21000258,Botanic_H,5,Economically inactive: Student,782
N21000258,Botanic_H,6,Economically inactive: Looking after home or family,56
N21000258,Botanic_H,7,Economically inactive: Long-term sick or disabled,142
N21000258,Botanic_H,8,Economically inactive: Other,102
N21000258,Botanic_H,-8,No code required,108
N21000259,Botanic_J,1,Economically active: Employee (including full-time students),867
N21000259,Botanic_J,2,Economically active: Self-employed (including full-time students),49
N21000259,Botanic_J,3,Economically active: Unemployed (including full-time students),151
N21000259,Botanic_J,4,Economically inactive: Retired,47
N21000259,Botanic_J,5,Economically inactive: Student,513
N21000259,Botanic_J,6,Economically inactive: Looking after home or family,25
N21000259,Botanic_J,7,Economically inactive: Long-term sick or disabled,114
N21000259,Botanic_J,8,Economically inactive: Other,78
N21000259,Botanic_J,-8,No code required,64
N21000260,Botanic_K,1,Economically active: Employee (including full-time students),1065
N21000260,Botanic_K,2,Economically active: Self-employed (including full-time students),78
N21000260,Botanic_K,3,Economically active: Unemployed (including full-time students),122
N21000260,Botanic_K,4,Economically inactive: Retired,84
N21000260,Botanic_K,5,Economically inactive: Student,283
N21000260,Botanic_K,6,Economically inactive: Looking after home or family,65
N21000260,Botanic_K,7,Economically inactive: Long-term sick or disabled,65
N21000260,Botanic_K,8,Economically inactive: Other,78
N21000260,Botanic_K,-8,No code required,191
N21000261,Botanic_L,1,Economically active: Employee (including full-time students),1070
N21000261,Botanic_L,2,Economically active: Self-employed (including full-time students),78
N21000261,Botanic_L,3,Economically active: Unemployed (including full-time students),118
N21000261,Botanic_L,4,Economically inactive: Retired,94
N21000261,Botanic_L,5,Economically inactive: Student,507
N21000261,Botanic_L,6,Economically inactive: Looking after home or family,34
N21000261,Botanic_L,7,Economically inactive: Long-term sick or disabled,82
N21000261,Botanic_L,8,Economically inactive: Other,75
N21000261,Botanic_L,-8,No code required,99
N21000262,Botanic_N,1,Economically active: Employee (including full-time students),1305
N21000262,Botanic_N,2,Economically active: Self-employed (including full-time students),102
N21000262,Botanic_N,3,Economically active: Unemployed (including full-time students),152
N21000262,Botanic_N,4,Economically inactive: Retired,107
N21000262,Botanic_N,5,Economically inactive: Student,559
N21000262,Botanic_N,6,Economically inactive: Looking after home or family,70
N21000262,Botanic_N,7,Economically inactive: Long-term sick or disabled,83
N21000262,Botanic_N,8,Economically inactive: Other,88
N21000262,Botanic_N,-8,No code required,266
N21000263,Botanic_P,1,Economically active: Employee (including full-time students),1125
N21000263,Botanic_P,2,Economically active: Self-employed (including full-time students),195
N21000263,Botanic_P,3,Economically active: Unemployed (including full-time students),64
N21000263,Botanic_P,4,Economically inactive: Retired,295
N21000263,Botanic_P,5,Economically inactive: Student,88
N21000263,Botanic_P,6,Economically inactive: Looking after home or family,48
N21000263,Botanic_P,7,Economically inactive: Long-term sick or disabled,101
N21000263,Botanic_P,8,Economically inactive: Other,58
N21000263,Botanic_P,-8,No code required,342
N21000264,Botanic_Q,1,Economically active: Employee (including full-time students),1308
N21000264,Botanic_Q,2,Economically active: Self-employed (including full-time students),80
N21000264,Botanic_Q,3,Economically active: Unemployed (including full-time students),153
N21000264,Botanic_Q,4,Economically inactive: Retired,66
N21000264,Botanic_Q,5,Economically inactive: Student,926
N21000264,Botanic_Q,6,Economically inactive: Looking after home or family,19
N21000264,Botanic_Q,7,Economically inactive: Long-term sick or disabled,26
N21000264,Botanic_Q,8,Economically inactive: Other,46
N21000264,Botanic_Q,-8,No code required,67
N21000265,Botanic_R,1,Economically active: Employee (including full-time students),1350
N21000265,Botanic_R,2,Economically active: Self-employed (including full-time students),138
N21000265,Botanic_R,3,Economically active: Unemployed (including full-time students),121
N21000265,Botanic_R,4,Economically inactive: Retired,130
N21000265,Botanic_R,5,Economically inactive: Student,610
N21000265,Botanic_R,6,Economically inactive: Looking after home or family,49
N21000265,Botanic_R,7,Economically inactive: Long-term sick or disabled,67
N21000265,Botanic_R,8,Economically inactive: Other,64
N21000265,Botanic_R,-8,No code required,181
N21000266,Botanic_S,1,Economically active: Employee (including full-time students),1050
N21000266,Botanic_S,2,Economically active: Self-employed (including full-time students),133
N21000266,Botanic_S,3,Economically active: Unemployed (including full-time students),79
N21000266,Botanic_S,4,Economically inactive: Retired,224
N21000266,Botanic_S,5,Economically inactive: Student,249
N21000266,Botanic_S,6,Economically inactive: Looking after home or family,51
N21000266,Botanic_S,7,Economically inactive: Long-term sick or disabled,48
N21000266,Botanic_S,8,Economically inactive: Other,61
N21000266,Botanic_S,-8,No code required,206
N21000267,Botanic_T,1,Economically active: Employee (including full-time students),824
N21000267,Botanic_T,2,Economically active: Self-employed (including full-time students),117
N21000267,Botanic_T,3,Economically active: Unemployed (including full-time students),54
N21000267,Botanic_T,4,Economically inactive: Retired,171
N21000267,Botanic_T,5,Economically inactive: Student,78
N21000267,Botanic_T,6,Economically inactive: Looking after home or family,64
N21000267,Botanic_T,7,Economically inactive: Long-term sick or disabled,118
N21000267,Botanic_T,8,Economically inactive: Other,50
N21000267,Botanic_T,-8,No code required,322
N21000268,Botanic_U,1,Economically active: Employee (including full-time students),712
N21000268,Botanic_U,2,Economically active: Self-employed (including full-time students),55
N21000268,Botanic_U,3,Economically active: Unemployed (including full-time students),55
N21000268,Botanic_U,4,Economically inactive: Retired,103
N21000268,Botanic_U,5,Economically inactive: Student,109
N21000268,Botanic_U,6,Economically inactive: Looking after home or family,43
N21000268,Botanic_U,7,Economically inactive: Long-term sick or disabled,66
N21000268,Botanic_U,8,Economically inactive: Other,53
N21000268,Botanic_U,-8,No code required,111
N21000269,Botanic_W,1,Economically active: Employee (including full-time students),1227
N21000269,Botanic_W,2,Economically active: Self-employed (including full-time students),172
N21000269,Botanic_W,3,Economically active: Unemployed (including full-time students),89
N21000269,Botanic_W,4,Economically inactive: Retired,186
N21000269,Botanic_W,5,Economically inactive: Student,100
N21000269,Botanic_W,6,Economically inactive: Looking after home or family,79
N21000269,Botanic_W,7,Economically inactive: Long-term sick or disabled,132
N21000269,Botanic_W,8,Economically inactive: Other,81
N21000269,Botanic_W,-8,No code required,352
N21000270,Botanic_X,1,Economically active: Employee (including full-time students),1057
N21000270,Botanic_X,2,Economically active: Self-employed (including full-time students),214
N21000270,Botanic_X,3,Economically active: Unemployed (including full-time students),169
N21000270,Botanic_X,4,Economically inactive: Retired,359
N21000270,Botanic_X,5,Economically inactive: Student,1396
N21000270,Botanic_X,6,Economically inactive: Looking after home or family,50
N21000270,Botanic_X,7,Economically inactive: Long-term sick or disabled,48
N21000270,Botanic_X,8,Economically inactive: Other,37
N21000270,Botanic_X,-8,No code required,309
N21000271,Botanic_Y,1,Economically active: Employee (including full-time students),1285
N21000271,Botanic_Y,2,Economically active: Self-employed (including full-time students),222
N21000271,Botanic_Y,3,Economically active: Unemployed (including full-time students),58
N21000271,Botanic_Y,4,Economically inactive: Retired,426
N21000271,Botanic_Y,5,Economically inactive: Student,271
N21000271,Botanic_Y,6,Economically inactive: Looking after home or family,54
N21000271,Botanic_Y,7,Economically inactive: Long-term sick or disabled,30
N21000271,Botanic_Y,8,Economically inactive: Other,39
N21000271,Botanic_Y,-8,No code required,583
N21000272,Botanic_Z,1,Economically active: Employee (including full-time students),640
N21000272,Botanic_Z,2,Economically active: Self-employed (including full-time students),182
N21000272,Botanic_Z,3,Economically active: Unemployed (including full-time students),20
N21000272,Botanic_Z,4,Economically inactive: Retired,444
N21000272,Botanic_Z,5,Economically inactive: Student,114
N21000272,Botanic_Z,6,Economically inactive: Looking after home or family,42
N21000272,Botanic_Z,7,Economically inactive: Long-term sick or disabled,25
N21000272,Botanic_Z,8,Economically inactive: Other,20
N21000272,Botanic_Z,-8,No code required,322
N21000273,Balmoral_A,1,Economically active: Employee (including full-time students),936
N21000273,Balmoral_A,2,Economically active: Self-employed (including full-time students),277
N21000273,Balmoral_A,3,Economically active: Unemployed (including full-time students),45
N21000273,Balmoral_A,4,Economically inactive: Retired,382
N21000273,Balmoral_A,5,Economically inactive: Student,126
N21000273,Balmoral_A,6,Economically inactive: Looking after home or family,62
N21000273,Balmoral_A,7,Economically inactive: Long-term sick or disabled,45
N21000273,Balmoral_A,8,Economically inactive: Other,23
N21000273,Balmoral_A,-8,No code required,369
N21000274,Balmoral_B,1,Economically active: Employee (including full-time students),635
N21000274,Balmoral_B,2,Economically active: Self-employed (including full-time students),106
N21000274,Balmoral_B,3,Economically active: Unemployed (including full-time students),25
N21000274,Balmoral_B,4,Economically inactive: Retired,216
N21000274,Balmoral_B,5,Economically inactive: Student,50
N21000274,Balmoral_B,6,Economically inactive: Looking after home or family,23
N21000274,Balmoral_B,7,Economically inactive: Long-term sick or disabled,32
N21000274,Balmoral_B,8,Economically inactive: Other,24
N21000274,Balmoral_B,-8,No code required,166
N21000275,Balmoral_C,1,Economically active: Employee (including full-time students),609
N21000275,Balmoral_C,2,Economically active: Self-employed (including full-time students),97
N21000275,Balmoral_C,3,Economically active: Unemployed (including full-time students),28
N21000275,Balmoral_C,4,Economically inactive: Retired,265
N21000275,Balmoral_C,5,Economically inactive: Student,59
N21000275,Balmoral_C,6,Economically inactive: Looking after home or family,62
N21000275,Balmoral_C,7,Economically inactive: Long-term sick or disabled,75
N21000275,Balmoral_C,8,Economically inactive: Other,36
N21000275,Balmoral_C,-8,No code required,338
N21000276,Balmoral_D,1,Economically active: Employee (including full-time students),923
N21000276,Balmoral_D,2,Economically active: Self-employed (including full-time students),110
N21000276,Balmoral_D,3,Economically active: Unemployed (including full-time students),47
N21000276,Balmoral_D,4,Economically inactive: Retired,510
N21000276,Balmoral_D,5,Economically inactive: Student,73
N21000276,Balmoral_D,6,Economically inactive: Looking after home or family,46
N21000276,Balmoral_D,7,Economically inactive: Long-term sick or disabled,79
N21000276,Balmoral_D,8,Economically inactive: Other,27
N21000276,Balmoral_D,-8,No code required,318
N21000277,Balmoral_E,1,Economically active: Employee (including full-time students),695
N21000277,Balmoral_E,2,Economically active: Self-employed (including full-time students),263
N21000277,Balmoral_E,3,Economically active: Unemployed (including full-time students),32
N21000277,Balmoral_E,4,Economically inactive: Retired,565
N21000277,Balmoral_E,5,Economically inactive: Student,130
N21000277,Balmoral_E,6,Economically inactive: Looking after home or family,68
N21000277,Balmoral_E,7,Economically inactive: Long-term sick or disabled,26
N21000277,Balmoral_E,8,Economically inactive: Other,28
N21000277,Balmoral_E,-8,No code required,422
N21000278,Balmoral_F,1,Economically active: Employee (including full-time students),766
N21000278,Balmoral_F,2,Economically active: Self-employed (including full-time students),149
N21000278,Balmoral_F,3,Economically active: Unemployed (including full-time students),44
N21000278,Balmoral_F,4,Economically inactive: Retired,455
N21000278,Balmoral_F,5,Economically inactive: Student,73
N21000278,Balmoral_F,6,Economically inactive: Looking after home or family,68
N21000278,Balmoral_F,7,Economically inactive: Long-term sick or disabled,109
N21000278,Balmoral_F,8,Economically inactive: Other,53
N21000278,Balmoral_F,-8,No code required,300
N21000279,Balmoral_G,1,Economically active: Employee (including full-time students),702
N21000279,Balmoral_G,2,Economically active: Self-employed (including full-time students),78
N21000279,Balmoral_G,3,Economically active: Unemployed (including full-time students),33
N21000279,Balmoral_G,4,Economically inactive: Retired,274
N21000279,Balmoral_G,5,Economically inactive: Student,83
N21000279,Balmoral_G,6,Economically inactive: Looking after home or family,83
N21000279,Balmoral_G,7,Economically inactive: Long-term sick or disabled,146
N21000279,Balmoral_G,8,Economically inactive: Other,49
N21000279,Balmoral_G,-8,No code required,375
N21000280,Balmoral_H,1,Economically active: Employee (including full-time students),619
N21000280,Balmoral_H,2,Economically active: Self-employed (including full-time students),105
N21000280,Balmoral_H,3,Economically active: Unemployed (including full-time students),37
N21000280,Balmoral_H,4,Economically inactive: Retired,366
N21000280,Balmoral_H,5,Economically inactive: Student,64
N21000280,Balmoral_H,6,Economically inactive: Looking after home or family,33
N21000280,Balmoral_H,7,Economically inactive: Long-term sick or disabled,52
N21000280,Balmoral_H,8,Economically inactive: Other,13
N21000280,Balmoral_H,-8,No code required,256
N21000281,Balmoral_J,1,Economically active: Employee (including full-time students),836
N21000281,Balmoral_J,2,Economically active: Self-employed (including full-time students),91
N21000281,Balmoral_J,3,Economically active: Unemployed (including full-time students),50
N21000281,Balmoral_J,4,Economically inactive: Retired,339
N21000281,Balmoral_J,5,Economically inactive: Student,81
N21000281,Balmoral_J,6,Economically inactive: Looking after home or family,90
N21000281,Balmoral_J,7,Economically inactive: Long-term sick or disabled,168
N21000281,Balmoral_J,8,Economically inactive: Other,64
N21000281,Balmoral_J,-8,No code required,447
N21000282,Balmoral_K,1,Economically active: Employee (including full-time students),592
N21000282,Balmoral_K,2,Economically active: Self-employed (including full-time students),49
N21000282,Balmoral_K,3,Economically active: Unemployed (including full-time students),60
N21000282,Balmoral_K,4,Economically inactive: Retired,249
N21000282,Balmoral_K,5,Economically inactive: Student,52
N21000282,Balmoral_K,6,Economically inactive: Looking after home or family,68
N21000282,Balmoral_K,7,Economically inactive: Long-term sick or disabled,121
N21000282,Balmoral_K,8,Economically inactive: Other,38
N21000282,Balmoral_K,-8,No code required,285
N21000283,Balmoral_L,1,Economically active: Employee (including full-time students),708
N21000283,Balmoral_L,2,Economically active: Self-employed (including full-time students),147
N21000283,Balmoral_L,3,Economically active: Unemployed (including full-time students),17
N21000283,Balmoral_L,4,Economically inactive: Retired,549
N21000283,Balmoral_L,5,Economically inactive: Student,88
N21000283,Balmoral_L,6,Economically inactive: Looking after home or family,46
N21000283,Balmoral_L,7,Economically inactive: Long-term sick or disabled,27
N21000283,Balmoral_L,8,Economically inactive: Other,25
N21000283,Balmoral_L,-8,No code required,364
N21000284,Balmoral_N,1,Economically active: Employee (including full-time students),876
N21000284,Balmoral_N,2,Economically active: Self-employed (including full-time students),134
N21000284,Balmoral_N,3,Economically active: Unemployed (including full-time students),22
N21000284,Balmoral_N,4,Economically inactive: Retired,455
N21000284,Balmoral_N,5,Economically inactive: Student,71
N21000284,Balmoral_N,6,Economically inactive: Looking after home or family,68
N21000284,Balmoral_N,7,Economically inactive: Long-term sick or disabled,69
N21000284,Balmoral_N,8,Economically inactive: Other,31
N21000284,Balmoral_N,-8,No code required,400
N21000285,Balmoral_P,1,Economically active: Employee (including full-time students),775
N21000285,Balmoral_P,2,Economically active: Self-employed (including full-time students),85
N21000285,Balmoral_P,3,Economically active: Unemployed (including full-time students),36
N21000285,Balmoral_P,4,Economically inactive: Retired,303
N21000285,Balmoral_P,5,Economically inactive: Student,68
N21000285,Balmoral_P,6,Economically inactive: Looking after home or family,67
N21000285,Balmoral_P,7,Economically inactive: Long-term sick or disabled,123
N21000285,Balmoral_P,8,Economically inactive: Other,33
N21000285,Balmoral_P,-8,No code required,365
N21000286,Collin_A,1,Economically active: Employee (including full-time students),663
N21000286,Collin_A,2,Economically active: Self-employed (including full-time students),95
N21000286,Collin_A,3,Economically active: Unemployed (including full-time students),31
N21000286,Collin_A,4,Economically inactive: Retired,376
N21000286,Collin_A,5,Economically inactive: Student,68
N21000286,Collin_A,6,Economically inactive: Looking after home or family,66
N21000286,Collin_A,7,Economically inactive: Long-term sick or disabled,143
N21000286,Collin_A,8,Economically inactive: Other,26
N21000286,Collin_A,-8,No code required,264
N21000287,Collin_B,1,Economically active: Employee (including full-time students),706
N21000287,Collin_B,2,Economically active: Self-employed (including full-time students),82
N21000287,Collin_B,3,Economically active: Unemployed (including full-time students),82
N21000287,Collin_B,4,Economically inactive: Retired,109
N21000287,Collin_B,5,Economically inactive: Student,173
N21000287,Collin_B,6,Economically inactive: Looking after home or family,266
N21000287,Collin_B,7,Economically inactive: Long-term sick or disabled,371
N21000287,Collin_B,8,Economically inactive: Other,104
N21000287,Collin_B,-8,No code required,1009
N21000288,Collin_C,1,Economically active: Employee (including full-time students),614
N21000288,Collin_C,2,Economically active: Self-employed (including full-time students),54
N21000288,Collin_C,3,Economically active: Unemployed (including full-time students),69
N21000288,Collin_C,4,Economically inactive: Retired,186
N21000288,Collin_C,5,Economically inactive: Student,73
N21000288,Collin_C,6,Economically inactive: Looking after home or family,132
N21000288,Collin_C,7,Economically inactive: Long-term sick or disabled,259
N21000288,Collin_C,8,Economically inactive: Other,74
N21000288,Collin_C,-8,No code required,448
N21000289,Collin_D,1,Economically active: Employee (including full-time students),1003
N21000289,Collin_D,2,Economically active: Self-employed (including full-time students),115
N21000289,Collin_D,3,Economically active: Unemployed (including full-time students),55
N21000289,Collin_D,4,Economically inactive: Retired,571
N21000289,Collin_D,5,Economically inactive: Student,85
N21000289,Collin_D,6,Economically inactive: Looking after home or family,76
N21000289,Collin_D,7,Economically inactive: Long-term sick or disabled,128
N21000289,Collin_D,8,Economically inactive: Other,47
N21000289,Collin_D,-8,No code required,322
N21000290,Collin_E,1,Economically active: Employee (including full-time students),695
N21000290,Collin_E,2,Economically active: Self-employed (including full-time students),71
N21000290,Collin_E,3,Economically active: Unemployed (including full-time students),85
N21000290,Collin_E,4,Economically inactive: Retired,203
N21000290,Collin_E,5,Economically inactive: Student,104
N21000290,Collin_E,6,Economically inactive: Looking after home or family,148
N21000290,Collin_E,7,Economically inactive: Long-term sick or disabled,308
N21000290,Collin_E,8,Economically inactive: Other,74
N21000290,Collin_E,-8,No code required,656
N21000291,Collin_F,1,Economically active: Employee (including full-time students),670
N21000291,Collin_F,2,Economically active: Self-employed (including full-time students),79
N21000291,Collin_F,3,Economically active: Unemployed (including full-time students),40
N21000291,Collin_F,4,Economically inactive: Retired,374
N21000291,Collin_F,5,Economically inactive: Student,77
N21000291,Collin_F,6,Economically inactive: Looking after home or family,69
N21000291,Collin_F,7,Economically inactive: Long-term sick or disabled,140
N21000291,Collin_F,8,Economically inactive: Other,33
N21000291,Collin_F,-8,No code required,306
N21000292,Collin_G,1,Economically active: Employee (including full-time students),691
N21000292,Collin_G,2,Economically active: Self-employed (including full-time students),88
N21000292,Collin_G,3,Economically active: Unemployed (including full-time students),85
N21000292,Collin_G,4,Economically inactive: Retired,188
N21000292,Collin_G,5,Economically inactive: Student,120
N21000292,Collin_G,6,Economically inactive: Looking after home or family,253
N21000292,Collin_G,7,Economically inactive: Long-term sick or disabled,350
N21000292,Collin_G,8,Economically inactive: Other,125
N21000292,Collin_G,-8,No code required,829
N21000293,Collin_H,1,Economically active: Employee (including full-time students),1301
N21000293,Collin_H,2,Economically active: Self-employed (including full-time students),166
N21000293,Collin_H,3,Economically active: Unemployed (including full-time students),56
N21000293,Collin_H,4,Economically inactive: Retired,526
N21000293,Collin_H,5,Economically inactive: Student,145
N21000293,Collin_H,6,Economically inactive: Looking after home or family,45
N21000293,Collin_H,7,Economically inactive: Long-term sick or disabled,97
N21000293,Collin_H,8,Economically inactive: Other,37
N21000293,Collin_H,-8,No code required,392
N21000294,Collin_J,1,Economically active: Employee (including full-time students),926
N21000294,Collin_J,2,Economically active: Self-employed (including full-time students),104
N21000294,Collin_J,3,Economically active: Unemployed (including full-time students),47
N21000294,Collin_J,4,Economically inactive: Retired,221
N21000294,Collin_J,5,Economically inactive: Student,74
N21000294,Collin_J,6,Economically inactive: Looking after home or family,59
N21000294,Collin_J,7,Economically inactive: Long-term sick or disabled,73
N21000294,Collin_J,8,Economically inactive: Other,39
N21000294,Collin_J,-8,No code required,404
N21000295,Collin_K,1,Economically active: Employee (including full-time students),563
N21000295,Collin_K,2,Economically active: Self-employed (including full-time students),67
N21000295,Collin_K,3,Economically active: Unemployed (including full-time students),73
N21000295,Collin_K,4,Economically inactive: Retired,275
N21000295,Collin_K,5,Economically inactive: Student,86
N21000295,Collin_K,6,Economically inactive: Looking after home or family,149
N21000295,Collin_K,7,Economically inactive: Long-term sick or disabled,278
N21000295,Collin_K,8,Economically inactive: Other,84
N21000295,Collin_K,-8,No code required,502
N21000296,Collin_L,1,Economically active: Employee (including full-time students),992
N21000296,Collin_L,2,Economically active: Self-employed (including full-time students),125
N21000296,Collin_L,3,Economically active: Unemployed (including full-time students),30
N21000296,Collin_L,4,Economically inactive: Retired,49
N21000296,Collin_L,5,Economically inactive: Student,93
N21000296,Collin_L,6,Economically inactive: Looking after home or family,57
N21000296,Collin_L,7,Economically inactive: Long-term sick or disabled,59
N21000296,Collin_L,8,Economically inactive: Other,34
N21000296,Collin_L,-8,No code required,686
N21000297,Collin_N,1,Economically active: Employee (including full-time students),1004
N21000297,Collin_N,2,Economically active: Self-employed (including full-time students),130
N21000297,Collin_N,3,Economically active: Unemployed (including full-time students),65
N21000297,Collin_N,4,Economically inactive: Retired,76
N21000297,Collin_N,5,Economically inactive: Student,131
N21000297,Collin_N,6,Economically inactive: Looking after home or family,142
N21000297,Collin_N,7,Economically inactive: Long-term sick or disabled,210
N21000297,Collin_N,8,Economically inactive: Other,71
N21000297,Collin_N,-8,No code required,778
N21000298,Collin_P,1,Economically active: Employee (including full-time students),716
N21000298,Collin_P,2,Economically active: Self-employed (including full-time students),78
N21000298,Collin_P,3,Economically active: Unemployed (including full-time students),76
N21000298,Collin_P,4,Economically inactive: Retired,271
N21000298,Collin_P,5,Economically inactive: Student,89
N21000298,Collin_P,6,Economically inactive: Looking after home or family,142
N21000298,Collin_P,7,Economically inactive: Long-term sick or disabled,275
N21000298,Collin_P,8,Economically inactive: Other,72
N21000298,Collin_P,-8,No code required,561
N21000299,Collin_Q,1,Economically active: Employee (including full-time students),1032
N21000299,Collin_Q,2,Economically active: Self-employed (including full-time students),147
